BradfordCity,Senior players,9-Nov-03,23-Nov-03,14,1,0,0,1,,
BradfordCity,"[u'Robson, Bryan', u'Bryan Robson']",24-Nov-03,17-Jun-04,206,28,7,1,20,,
BradfordCity,"[u'Todd, Colin', u'Colin Todd']",18-Jun-04,12-Feb-07,969,139,44,46,49,,
BradfordCity,"[u'Wetherall, David', u'David Wetherall']",12-Feb-07,22-May-07,99,14,2,4,8,,
BradfordCity,"[u'McCall, Stuart', u'Stuart McCall']",22-May-07,8-Feb-10,993,133,46,35,52,,
BradfordCity,"[u'Jacobs, Wayne', u'Wayne Jacobs']",8-Feb-10,16-Feb-10,8,1,0,1,0,,
BradfordCity,"[u'Taylor, Peter', u'Peter Taylor']",17-Feb-10,26-Feb-11,374,25,10,5,10,,
BradfordCity,"[u'Jackson, Peter Allan', u'Peter Allan Jackson']",27-Feb-11,25-Aug-11,179,19,4,4,11,,
BradfordCity,"[u'Cooper, Colin', u'Colin Cooper']",25-Aug-11,29-Aug-11,4,2,1,1,0,,
BradfordCity,"[u'Parkinson, Phil', u'Phil Parkinson']",29-Aug-11,Present,,196,68,62,66,,
CardiffCity,"[u'May, Eddie', u'Eddie May']",1-Jul-91,1-Nov-94,1219,170,66,46,58,,
CardiffCity,"[u'Yorath, Terry', u'Terry Yorath']",1-Nov-94,1-Mar-95,120,41,8,9,24,,
CardiffCity,"[u'May, Eddie', u'Eddie May']",1-Mar-95,1-May-95,61,8,2,2,4,,
CardiffCity,"[u'Hibbitt, Kenny', u'Kenny Hibbitt']",1-May-95,1-Feb-96,276,,,,,,
CardiffCity,"[u'Neal, Phil', u'Phil Neal']",1-Feb-96,1-Aug-96,182,,,,,,
CardiffCity,"[u'Hibbitt, Kenny', u'Kenny Hibbitt', u'*']",1-Aug-96,11-Nov-96,102,19,9,4,6,,
CardiffCity,"[u'Osman, Russell', u'Russell Osman']",11-Nov-96,23-Jan-98,438,67,22,21,24,,
CardiffCity,"[u'Hibbitt, Kenny', u'Kenny Hibbitt', u'*']",23-Jan-98,16-Feb-98,24,6,0,5,1,,
CardiffCity,"[u'Burrows, Frank', u'Frank Burrows']",16-Feb-98,1-Feb-00,715,107,36,34,37,,
CardiffCity,"[u'Ayre, Billy', u'Billy Ayre']",2-Feb-00,14-Aug-00,194,19,5,7,7,,
CardiffCity,"[u'Gould, Bobby', u'Bobby Gould']",14-Aug-00,3-Jul-01,323,52,24,15,13,,
CardiffCity,"[u'Cork, Alan', u'Alan Cork']",3-Jul-01,17-Feb-02,229,40,17,11,12,,
CardiffCity,"[u'Lawrence, Lennie', u'Lennie Lawrence']",18-Feb-02,25-May-05,1192,174,72,50,52,197,260
CardiffCity,"[u'Jones, Dave', u'Dave Jones']",25-May-05,30-May-11,2196,315,132,84,99,385,450
CardiffCity,"[u'Mackay, Malky', u'Malky Mackay']",17-Jun-11,27-Dec-13,924,125,54,37,34,156,175
CardiffCity,"[u'Kerslake, David', u'David Kerslake', u'*']",27-Dec-13,2-Jan-14,6,2,0,1,1,4,2
CardiffCity,"[u'Solskj\xe6r, Ole Gunnar', u'Ole Gunnar Solskj\xe6r']",2-Jan-14,18-Sep-14,259,30,9,5,16,56,32
CardiffCity,"[u'Gabbidon, Danny', u'Danny Gabbidon', u'*', u'2']",18-Sep-14,5-Oct-14,17,5,1,2,2,8,5
CardiffCity,"[u'Young, Scott', u'Scott Young', u'*', u'2']",18-Sep-14,5-Oct-14,17,5,1,2,2,8,5
CardiffCity,"[u'Slade, Russell', u'Russell Slade']",5-Oct-14,present,,51,20,15,16,63,65
Chelsea,Ian Porterfield,11-Jun-91,15-Feb-93,615,90,31,28,31,119,106
Chelsea,"[u'David Webb', u'[', u'nb 2', u']']",15-Feb-93,11-May-93,85,13,5,4,4,18,19
Chelsea,"[u'Glenn Hoddle', u'[', u']']",4-Jun-93,10-May-96,1071,157,53,54,50,182,192
Chelsea,"[u'Ruud Gullit', u'[', u']']",10-May-96,12-Feb-98,643,83,41,18,24,109,157
Chelsea,"[u'Gianluca Vialli', u'[', u']']",12-Feb-98,12-Sep-00,943,143,76,38,29,123,223
Chelsea,"[u'Graham Rix', u'[', u'nb 2', u']']",13-Sep-00,17-Sep-00,4,2,1,0,1,2,1
Chelsea,Claudio Ranieri,17-Sep-00,31-May-04,1352,199,107,46,46,197,358
Chelsea,Jos姓 Mourinho,2-Jun-04,19-Sep-07,1204,185,124,40,21,119,330
Chelsea,Avram Grant,20-Sep-07,24-May-08,247,54,36,13,5,36,97
Chelsea,Luiz Felipe Scolari,1-Jul-08,9-Feb-09,223,36,20,11,5,24,66
Chelsea,"[u'Ray Wilkins', u'[', u'nb 2', u']']",9-Feb-09,15-Feb-09,6,1,1,0,0,1,3
Chelsea,"[u'Guus Hiddink', u'[', u'nb 2', u']']",16-Feb-09,30-May-09,103,22,16,5,1,19,41
Chelsea,Carlo Ancelotti,1-Jul-09,22-May-11,690,109,67,20,22,94,241
Chelsea,Andr姓 Villas-Boas,22-Jun-11,4-Mar-12,256,40,19,11,10,43,69
Chelsea,Roberto Di Matteo,4-Mar-12,21-Nov-12,262,42,24,9,9,23,43
Chelsea,"[u'Rafael Ben\xedtez', u'[', u'nb 2', u']']",21-Nov-12,27-May-13,187,48,28,10,10,48,99
Chelsea,Jos姓 Mourinho,3-Jun-13,17-Dec-15,927,136,80,29,27,121,245
Chelsea,"[u'Steve Holland', u'[', u'nb 2', u']']",17-Dec-15,19-Dec-15,2,1,1,0,0,1,3
Chelsea,"[u'Guus Hiddink', u'[', u'nb 2', u']']",19-Dec-15,Present,,4,2,2,0,2,7
CoventryCity,"[u'Butcher, Terry', u'Terry Butcher']",15-Nov-90,6-Jan-92,417,60,20,14,26,,
CoventryCity,"[u'Gould, Bobby', u'Bobby Gould', u' (2)']",1-Jun-92,1-Dec-93,548,59,18,19,22,,
CoventryCity,"[u'Neal, Phil', u'Phil Neal']",23-Oct-93,14-Feb-95,479,67,21,20,26,,
CoventryCity,"[u'Atkinson, Ron', u'Ron Atkinson']",1-Feb-95,1-Nov-96,639,74,19,28,27,,
CoventryCity,"[u'Strachan, Gordon', u'Gordon Strachan']",5-Nov-96,10-Sep-01,1770,214,70,54,90,,
CoventryCity,"[u'Nilsson, Roland', u'Roland Nilsson']",1-Sep-01,16-Apr-02,227,43,19,6,18,,
CoventryCity,"[u'McAllister, Gary', u'Gary McAllister']",24-Apr-02,11-Dec-03,596,76,21,26,29,,
CoventryCity,"[u'Black, Eric', u'Eric Black']",15-Jan-04,4-May-04,110,22,10,4,8,,
CoventryCity,"[u'Reid, Peter', u'Peter Reid']",6-May-04,6-Jan-05,245,31,10,8,13,,
CoventryCity,"[u'Adams, Micky', u'Micky Adams']",23-Jan-05,17-Jan-07,724,99,33,26,40,,
CoventryCity,"[u'Dowie, Iain', u'Iain Dowie']",19-Feb-07,11-Feb-08,357,49,20,8,21,,
CoventryCity,"[u'Coleman, Chris', u'Chris Coleman']",19-Feb-08,4-May-10,805,117,34,47,36,,
CoventryCity,"[u'Boothroyd, Aidy', u'Aidy Boothroyd']",20-May-10,14-Mar-11,298,39,12,8,19,,
CoventryCity,"[u'Thorn, Andy', u'Andy Thorn']",14-Mar-11,26-Aug-12,531,49,9,15,25,,
CoventryCity,"[u'Robins, Mark', u'Mark Robins']",19-Sep-12,14-Feb-13,148,33,17,6,10,,
CoventryCity,"[u'Pressley, Steven', u'Steven Pressley']",8-Mar-13,23-Feb-15,717,100,32,30,38,,
CoventryCity,"[u'Mowbray, Tony', u'Tony Mowbray']",3-Mar-15,Present,,36,16,12,8,,
