Picture,Name,Nationality,From,To,Time in Charge,P,W,D,L,Win%,Honours,Ref.
[],"[u'Yorath, Terry', u'Terry Yorath', u'[', u']']","[u'\xa0', u'Wales']",[u'12 July 1986'],[u'2 February 1989'],"[u'2\xa0years, 205\xa0days']",[u'139'],[u'58'],[u'35'],[u'46'],"[u'7001417309999999999\u2660', u'41.73']","[u'1 ', u'Fourth Division', u' play-off winner, 1 ', u'Welsh Cup']","[u'[', u'20', u']']"
[],"[u'Evans, Ian', u'Ian Evans']","[u'\xa0', u'Wales']",[u'27 February 1989'],[u'13 March 1990'],"[u'1\xa0year, 14\xa0days']",[u'58'],[u'15'],[u'19'],[u'24'],[u'25.86'],[],"[u'[', u'21', u']']"
[],"[u'Yorath, Terry', u'Terry Yorath']","[u'\xa0', u'Wales']",[u'15 March 1990'],[u'21 March 1991'],"[u'1\xa0year, 6\xa0days']",[u'51'],[u'15'],[u'10'],[u'26'],[u'29.41'],[],"[u'[', u'20', u']']"
[],"[u'Burrows, Frank', u'Frank Burrows']","[u'\xa0', u'Scotland']",[u'21 March 1991'],[u'31 July 1995'],"[u'4\xa0years, 132\xa0days']",[u'231'],[u'85'],[u'65'],[u'81'],[u'36.80'],"[u'1 ', u'Welsh Cup', u', 1 ', u'Football League Trophy']","[u'[', u'22', u']']"
[],"[u'Smith, Bobby', u'Bobby Smith']","[u'\xa0', u'England']",[u'1 August 1995'],[u'31 July 1996'],[u'365\xa0days'],[u'49'],[u'12'],[u'14'],[u'23'],[u'24.49'],[],"[u'[', u'23', u']']"
[],"[u'Cullis, Kevin', u'Kevin Cullis']","[u'\xa0', u'England']",[u'8 February 1996'],[u'14 February 1996'],[u'6\xa0days'],[u'2'],[u'0'],[u'0'],[u'2'],"[u'0', u'0.00']",[],"[u'[', u'24', u']']"
[],"[u'Rimmer, Jimmy', u'Jimmy Rimmer']","[u'\xa0', u'England']",[u'14 February 1996'],[u'22 February 1996'],[u'8\xa0days'],[u'2'],[u'0'],[u'1'],[u'1'],"[u'0', u'0.00']",[],"[u'[', u'25', u']']"
[],"[u'M\xf8lby, Jan', u'Jan M\xf8lby', u'[', u']']","[u'\xa0', u'Denmark']",[u'22 February 1996'],[u'8 October 1997'],"[u'1\xa0year, 228\xa0days']",[u'80'],[u'31'],[u'16'],[u'33'],[u'38.75'],[],"[u'[', u'26', u']']"
[],"[u'Adams, Micky', u'Micky Adams', u'[', u']']","[u'\xa0', u'England']",[u'9 October 1997'],[u'22 October 1997'],[u'13\xa0days'],[u'3'],[u'0'],[u'0'],[u'3'],"[u'0', u'0.00']",[],"[u'[', u'27', u']']"
[],"[u'Cork, Alan', u'Alan Cork']","[u'\xa0', u'England']",[u'22 October 1997'],[u'30 June 1998'],[u'251\xa0days'],[u'35'],[u'10'],[u'10'],[u'15'],[u'28.57'],[],"[u'[', u'28', u']']"
[],"[u'Hollins, John', u'John Hollins']","[u'\xa0', u'England']",[u'1 July 1998'],[u'12 September 2001'],"[u'3\xa0years, 73\xa0days']",[u'170'],[u'63'],[u'47'],[u'60'],[u'37.06'],"[u'1 ', u'Fourth Division Championship']","[u'[', u'29', u']']"
[],"[u'Addison, Colin', u'Colin Addison']","[u'\xa0', u'England']",[u'13 September 2001'],[u'7 March 2002'],[u'175\xa0days'],[u'35'],[u'11'],[u'8'],[u'16'],[u'31.43'],[],"[u'[', u'30', u']']"
[],"[u'Freestone, Roger', u'Roger Freestone', u'[', u'nb 3', u']']","[u'\xa0', u'Wales']",[u'8 March 2002'],[u'20 April 2002'],[u'43\xa0days'],[u'8'],[u'1'],[u'2'],[u'5'],[u'12.50'],[],"[u'[', u'31', u']']"
[],"[u'Cusack, Nick', u'Nick Cusack', u'[', u'nb 3', u']']","[u'\xa0', u'England']",[u'8 March 2002'],[u'19 September 2002'],[u'195\xa0days'],[u'8'],[u'2'],[u'5'],[u'1'],[u'25.00'],[],"[u'[', u'32', u']']"
