Team,Name,From,To,P,W,D,L
WestBrom,"[u'Talbot, Brian', u'Brian Talbot']",2 November 1988,8 January 1991,114,34,39,41
WestBrom,"[u'Pearson, Stuart', u'Stuart Pearson']",9 January 1991,25 February 1991,6,2,1,3
WestBrom,"[u'Gould, Bobby', u'Bobby Gould']",25 February 1991,5 May 1992,66,22,23,21
WestBrom,"[u'Ardiles, Osvaldo', u'Osvaldo Ardiles']",8 May 1992,19 June 1993,55,30,11,14
WestBrom,"[u'Burkinshaw, Keith', u'Keith Burkinshaw']",19 June 1993,17 October 1994,64,15,19,30
WestBrom,"[u'Buckley, Alan', u'Alan Buckley']",20 October 1994,22 January 1997,118,39,34,45
WestBrom,"[u'Mann, Arthur', u'Arthur Mann']",21 January 1997,5 February 1997,3,1,1,1
WestBrom,"[u'Harford, Ray', u'Ray Harford']",6 February 1997,4 December 1997,40,19,7,14
WestBrom,"[u'Barker, Richie', u'Richie Barker']",5 December 1997,12 December 1997,1,1,0,0
WestBrom,"[u'Trewick, John', u'John Trewick']",13 December 1997,23 December 1997,2,0,0,2
WestBrom,"[u'Smith, Denis', u'Denis Smith']",24 December 1997,27 July 1999,72,22,19,31
WestBrom,"[u'Regis, Cyrille', u'Cyrille Regis', u' &', u'\n', u'John Gorman']",28 July 1999,2 August 1999,0,0,0,0
WestBrom,"[u'Little, Brian', u'Brian Little']",3 August 1999,[],41,8,18,15
WestBrom,"[u'Regis, Cyrille', u'Cyrille Regis', u' &', u'\n', u'Allan Evans']",[],[],1,1,0,0
WestBrom,"[u'Megson, Gary', u'Gary Megson']",[],26 October 2004,221,94,50,77
WestBrom,"[u'Burrows, Frank', u'Frank Burrows']",27 October 2004,8 November 2004,2,0,1,1
WestBrom,"[u'Robson, Bryan', u'Bryan Robson']",9 November 2004,18 September 2006,81,19,24,38
WestBrom,"[u'Pearson, Nigel', u'Nigel Pearson']",19 September 2006,17 October 2006,4,3,1,0
WestBrom,"[u'Shakespeare, Craig', u'Craig Shakespeare']",17 October 2006,17 October 2006,1,1,0,0
WestBrom,"[u'Mowbray, Tony', u'Tony Mowbray']",18 October 2006,16 June 2009,140,57,32,51
WestBrom,"[u'Di Matteo, Roberto', u'Roberto Di Matteo']",30 June 2009,6 February 2011,82,40,19,23
WestBrom,"[u'Appleton, Michael', u'Michael Appleton']",6 February 2011,14 February 2011,1,0,1,0
WestBrom,Roy Hodgson,14 February 2011,1 May 2012,54,20,13,21
WestBrom,Steve Clarke,12 June 2012,14 December 2013,60,19,15,26
WestBrom,Keith Downing,14 December 2013,11 January 2014,6,1,3,2
WestBrom,Pepe Mel,9 January 2014,12 May 2014,17,3,6,8
WestBrom,Alan Irvine,14 June 2014,29 December 2014,22,5,6,11
WestBrom,Rob Kelly,29 December 2014,1 January 2015,1,0,1,0
WestBrom,Tony Pulis,1 January 2015,Present,44,17,11,16
