Team,Name,From,To,M,W,D,L,GF,GA
Arsenal,"Mitchell, Thomas",30 March 1897,10 March 1898,45,23,8,14,106,79
Arsenal,Unknown,11 March 1898,April 1898,9,6,2,1,21,8
Arsenal,"Elcoat, William",11 April 1898,16 February 1899,44,21,6,17,86,67
Arsenal,"Kennedy, Arthur",21 February 1899,29 April 1899,15,8,3,4,31,17
Arsenal,"Bradshaw, Harry",30 June 1899,30-Apr-04,235,118,44,73,403,237
Arsenal,"Kelso, Phil",1-May-04,9-Feb-08,152,63,31,58,225,229
Arsenal,"Morrell, George",10-Feb-08,13-Apr-15,309,113,74,122,392,428
Arsenal,"McEwen, James",19-Apr-15,24-May-19,2,1,0,1,7,3
Arsenal,"Knighton, Leslie",25-May-19,16-May-25,286,105,63,118,367,401
Arsenal,"Chapman, Herbert",11-Jun-25,6-Jan-34,411,204,97,110,879,616
Arsenal,"Shaw, Joe",6-Jan-34,28-May-34,23,14,3,6,44,29
Arsenal,"Allison, George",28-May-34,31-May-47,279,129,74,76,534,327
Arsenal,"Whittaker, Tom",2-Jun-47,24-Oct-56,430,203,106,121,802,568
Arsenal,"Crayston, Jack",24-Oct-56,19-May-58,81,34,17,30,148,151
Arsenal,"Swindin, George",21-Jun-58,1-May-62,186,76,43,67,336,330
Arsenal,"Wright, Billy",1-May-62,13-Jun-66,182,70,43,69,336,330
Arsenal,"Mee, Bertie",20-Jun-66,4-May-76,539,241,148,150,739,542
Arsenal,"Neill, Terry",9-Jul-76,16-Dec-83,416,187,117,112,601,446
Arsenal,"Howe, Don",16-Dec-83,22-Mar-86,117,54,32,31,187,142
Arsenal,"Burtenshaw, Steve",23-Mar-86,14-May-86,11,3,2,6,7,15
Arsenal,"Graham, George",14-May-86,21-Feb-95,460,225,133,102,711,403
Arsenal,"Houston, Stewart",21-Feb-95,15-Jun-95,19,7,3,9,29,25
Arsenal,"Rioch, Bruce",15-Jun-95,12-Aug-96,47,22,15,10,67,37
Arsenal,"Houston, Stewart",12-Aug-96,13-Sep-96,6,2,2,2,11,10
Arsenal,"Rice, Pat",13-Sep-96,30-Sep-96,4,3,0,1,10,4
Arsenal,"Wenger, Ars̬ne",1-Oct-96,Present,"1,098",632,254,212,"1,886",990
